2013-01,110
2013-02,121
2013-03,135
2013-04,127
2013-05,128
2013-06,136
2013-07,149
2013-08,150
2013-09,138
2013-10,119
2013-11,104
2013-12,118
2014-01,115
2014-02,126
2014-03,141
2014-04,135
2014-05,125
2014-06,149
2014-07,170
2014-08,170
2014-09,158
2014-10,133
2014-11,114
2014-12,140
2015-01,145
2015-02,150
2015-03,178
2015-04,163
2015-05,172
2015-06,178
2015-07,199
2015-08,199
2015-09,184
2015-10,162
2015-11,146
2015-12,166
2016-01,172
2016-02,180
2016-03,193
2016-04,181
2016-05,183
2016-06,218
2016-07,230
2016-08,242
2016-09,209
2016-10,191
2016-11,173
2016-12,194
2017-01,196
2017-02,196
2017-03,236
2017-04,235
2017-05,229
2017-06,243
2017-07,264
2017-08,272
2017-09,237
2017-10,211
2017-11,180
2017-12,201
2018-01,204
2018-02,188
2018-03,235
2018-04,227
2018-05,234
2018-06,264
2018-07,302
2018-08,293
2018-09,259
2018-10,229
2018-11,203
2018-12,229
2019-01,242
2019-02,233
2019-03,267
2019-04,269
2019-05,270
2019-06,315
2019-07,364
2019-08,347
2019-09,312
2019-10,274
2019-11,237
2019-12,278
2020-01,284
2020-02,277
2020-03,317
2020-04,313
2020-05,318
2020-06,374
2020-07,413
2020-08,405
2020-09,355
2020-10,306
2020-11,271
2020-12,306
2021-01,315
2021-02,301
2021-03,356
2021-04,348
2021-05,355
2021-06,422
2021-07,465
2021-08,467
2021-09,404
2021-10,347
2021-11,305
2021-12,336
2022-01,340
2022-02,318
2022-03,362
2022-04,348
2022-05,363
2022-06,435
2022-07,491
2022-08,505
2022-09,404
2022-10,359
2022-11,310
2022-12,337
2023-01,360
2023-02,342
2023-03,406
2023-04,396
2023-05,420
2023-06,472
2023-07,548
2023-08,559
2023-09,463
2023-10,407
2023-11,362
2023-12,405
2024-01,417
2024-02,391
2024-03,419
2024-04,461
2024-05,472
2024-06,535
2024-07,622
2024-08,606
2024-09,508
2024-10,461
2024-11,390
2024-12,432
